Model name,Vendor,Launch,launch_year,price_usd_clean,perf_value,perf_per_dollar
RTX 5880 Ada Generation,NVIDIA,2024-01-05,2024.0,6999.0,69.27,0.00989712816116588
RTX 6000 Ada Generation,NVIDIA,2022-12-03,2022.0,6799.0,91.06,0.013393146050889837
RTX PRO 4000 Blackwell,NVIDIA,2025-03-18,2025.0,1546.0,46.9,0.030336351875808538
RTX PRO 4500 Blackwell,NVIDIA,2025-03-18,2025.0,2623.0,54.94,0.020945482272207397
RTX PRO 5000 Blackwell,NVIDIA,2025-03-18,2025.0,4569.0,73.69,0.016128255635806523
RTX PRO 6000 Blackwell Max-Q Workstation Edition,NVIDIA,2025-03-18,2025.0,8565.0,110.1,0.01285464098073555
RTX PRO 6000 Blackwell Workstation Edition,NVIDIA,2025-03-18,2025.0,8565.0,126.0,0.014711033274956218
,AMD,2007-06-28,2007.0,50.0,0.042,0.00084
,AMD,2007-06-28,2007.0,75.0,0.052,0.0006933333333333333
,AMD,2007-06-28,2007.0,89.0,0.144,0.0016179775280898876
,AMD,2007-06-28,2007.0,119.0,0.192,0.0016134453781512605
,AMD,2007-11-06,2007.0,200.0,0.2885,0.0014425
,AMD,2007-09-25,2007.0,250.0,0.384,0.001536
,AMD,2007-05-14,2007.0,399.0,0.4755,0.0011917293233082707
,AMD,2008-04-01,2008.0,129.0,0.4275,0.003313953488372093
,AMD,2007-11-19,2007.0,179.0,0.4275,0.002388268156424581
,AMD,2007-11-19,2007.0,219.0,0.4973,0.0022707762557077626
,AMD,2008-09-10,2008.0,79.0,0.48,0.0060759493670886075
,AMD,2009-04-28,2009.0,109.0,0.96,0.008807339449541284
,AMD,2008-10-21,2008.0,130.0,0.736,0.005661538461538462
,AMD,2008-06-25,2008.0,199.0,1.0,0.005025125628140704
,AMD,2008-06-25,2008.0,299.0,1.2,0.004013377926421404
,AMD,2009-04-02,2009.0,249.0,1.36,0.0054618473895582335
,AMD,2008-11-07,2008.0,339.0,2.0,0.0058997050147492625
,AMD,2008-08-12,2008.0,449.0,2.4,0.005345211581291759
,AMD,2010-02-04,2010.0,50.0,0.104,0.00208
,AMD,2010-02-09,2010.0,70.0,0.352,0.005028571428571428
,AMD,2010-02-09,2010.0,80.0,0.52,0.006500000000000001
,AMD,2010-01-14,2010.0,99.0,0.62,0.006262626262626262
,AMD,2009-10-13,2009.0,129.0,1.008,0.007813953488372093
,AMD,2009-10-13,2009.0,159.0,1.36,0.008553459119496856
,AMD,2010-02-25,2010.0,239.0,1.792,0.007497907949790795
,AMD,2009-09-30,2009.0,259.0,2.088,0.008061776061776061
,AMD,2009-09-23,2009.0,379.0,2.72,0.007176781002638523
,AMD,2010-03-11,2010.0,479.0,2.72,0.005678496868475992
,AMD,2009-11-18,2009.0,599.0,4.64,0.007746243739565943
,Intel,2025-01-16,2025.0,219.0,11.52,0.052602739726027394
,Intel,2024-12-13,2024.0,249.0,13.67,0.0548995983935743
,Intel,2025-09-03,2025.0,349.0,10.65,0.03051575931232092
