year,tsmc_close,tsmc_return,nvda_close,nvda_return,amd_close,amd_return,micron_close,micron_return
1980,,,,,5.75,,,
1981,,,,,2.9375,-0.48913043478260865,,
1982,,,,,6.28125,1.1382978723404253,,
1983,,,,,16.8125,1.6766169154228856,,
1984,,,,,14.75,-0.12267657992565051,2.607361078262329,
1985,,,,,14.5,-0.016949152542372836,0.8133054375648499,-0.6880733380790989
1986,,,,,6.875,-0.5258620689655172,0.43057337403297424,-0.4705883495354819
1987,,,,,4.9375,-0.28181818181818186,1.411324143409729,2.2777784891586137
1988,,,,,4.3125,-0.12658227848101267,1.5070070028305054,0.06779651568179701
1989,,,,,3.9375,-0.08695652173913049,0.9329090714454651,-0.380952397903097
1990,,,,,2.4375,-0.38095238095238093,0.9687903523445129,0.03846171293355827
1991,,,,,8.75,2.58974358974359,1.3568962812423706,0.4006087880196425
1992,,,,,9.0625,0.03571428571428581,1.8180779218673706,0.3398798029004422
1993,,,,,8.875,-0.020689655172413834,4.483941555023193,1.4663087874790763
1994,,,,,12.4375,0.40140845070422526,10.692809104919434,1.3846896695030906
1995,,,,,8.25,-0.33668341708542715,19.30432891845703,0.8053561724557208
1996,,,,,12.875,0.5606060606060606,14.20858383178711,-0.2639690355564672
1997,1.9190335273742676,,,,8.875,-0.3106796116504854,12.653566360473633,-0.10944211539468329
1998,2.170619010925293,0.13110009802447764,,,14.5,0.6338028169014085,24.666833877563477,0.9493977567159317
1999,8.468280792236328,2.901320659965317,0.08965354412794113,,14.46875,-0.0021551724137931494,38.113162994384766,0.5451177554267246
2000,4.1551032066345215,-0.5093333217712979,0.12516899406909943,0.39614105930352905,13.8125,-0.04535637149028082,34.637237548828125,-0.091200130675818
2001,5.790165901184082,0.3935071196159048,0.5111351013183594,3.0835600311382843,15.859999656677246,0.14823526926170105,30.24660301208496,-0.1267605284790303
2002,2.6151859760284424,-0.5483400612936427,0.08793999254703522,-0.8279515683422767,6.460000038146973,-0.5926859912996759,9.503286361694336,-0.6858064901404856
2003,4.102391719818115,0.5686806817648284,0.17725437879562378,1.0156287675464406,14.899999618530273,1.3065014753164435,13.142635345458984,0.3829568893592501
2004,3.9217958450317383,-0.04402209421249126,0.18000485002994537,0.01551708484162706,22.020000457763672,0.477852417551653,12.04985523223877,-0.08314771615403527
2005,4.978538990020752,0.2694538896836589,0.27932921051979065,0.5517871350317605,30.600000381469727,0.3896457650018337,12.986526489257812,0.07773298840246867
2006,5.910824775695801,0.1872609188245331,0.5655335783958435,1.0246130984420447,20.350000381469727,-0.33496731608562447,13.620728492736816,0.04883538365733142
2007,5.620856761932373,-0.04905711550708147,0.779767632484436,0.3788175667592988,7.5,-0.6314496383582706,7.073803424835205,-0.48065895090653377
2008,4.697250843048096,-0.16431764017533057,0.18497130274772644,-0.7627866366312424,2.1600000858306885,-0.7119999885559082,2.5758395195007324,-0.6358621572014153
2009,7.168439865112305,0.5260926240976793,0.42816171050071716,1.3147466884885737,9.680000305175781,3.4814814446884927,10.30335807800293,3.0
2010,8.248888969421387,0.1507230477816326,0.35298120975494385,-0.17558903307316498,8.180000305175781,-0.15495867280065767,7.825089454650879,-0.24053018487661904
2011,8.850578308105469,0.07294186416068182,0.31768321990966797,-0.09999962850651856,5.400000095367432,-0.3398533137033434,6.137133598327637,-0.21571074249125644
2012,12.187918663024902,0.3770759648398405,0.28282269835472107,-0.10973359425423657,2.4000000953674316,-0.5555555457440915,6.185917854309082,0.007949029493954374
2013,12.732279777526855,0.044663993053498885,0.3776355981826782,0.33523794369941684,3.869999885559082,0.6124998882412955,21.221406936645508,2.43059953857337
2014,16.706459045410156,0.312134145441725,0.4810919463634491,0.27395814557377784,2.6700000762939453,-0.31007747926374374,34.159141540527344,0.60965489434825
2015,17.52250099182129,0.04884589512313964,0.8039793968200684,0.6711553849473266,2.869999885559082,0.07490629346450928,13.815865516662598,-0.5955441239566552
2016,22.97495460510254,0.31116868624097727,2.628693103790283,2.2696025721397786,11.34000015258789,2.9512197229160635,21.38727569580078,0.5480228632803859
2017,32.717857360839844,0.4240662461885121,4.783904075622559,0.8198792657555576,10.279999732971191,-0.09347446255323,40.12065505981445,0.8759123710034662
2018,31.570829391479492,-0.03505816278584417,3.3097329139709473,-0.30815232461778996,18.459999084472656,0.795719801943733,30.9588623046875,-0.22835601117349558
2019,52.041954040527344,0.6484189691441147,5.856339931488037,0.7694297647908166,45.86000061035156,1.4842905138021374,52.47297668457031,0.6949258718924354
2020,100.26839447021484,0.9266838903114871,13.018390655517578,1.222956796875986,91.70999908447266,0.9997818984714926,73.35289764404297,0.39791760023426304
2021,112.39550018310547,0.12094644356246298,29.354141235351562,1.2548210460184963,143.89999389648438,0.5690763857051218,91.11024475097656,0.24208105851665263
2022,71.09191131591797,-0.36748436369693716,14.599384307861328,-0.5026465195895731,64.7699966430664,-0.5498957651821776,49.263545989990234,-0.4592974025628199
2023,101.18489837646484,0.42329691948806625,49.49442672729492,2.3901721938125613,147.41000366210938,1.2758995106091229,84.69939422607422,0.7193117654032481
2024,194.86436462402344,0.9258245820341509,134.25328063964844,1.7124928909543495,120.79000091552734,-0.18058477773055304,83.88507843017578,-0.009614186775939837
2025,303.8900146484375,0.5594950633214599,186.5,0.3891653083740121,214.16000366210938,0.7729944700627904,285.4100036621094,2.4023930000814007
2026,370.5400085449219,0.2193227506128821,189.82000732421875,0.01780164785103877,200.14999389648438,-0.06541842326324043,428.1700134277344,0.5001927330292018
