year,sp500_close,sp500_return
1927,17.65999984741211,
1928,24.350000381469727,0.37882223056972264
1929,21.450000762939453,-0.11909649170836001
1930,15.34000015258789,-0.2848485031715339
1931,8.119999885559082,-0.47066494101766876
1932,6.920000076293945,-0.14778322982482572
1933,9.970000267028809,0.4407514677902016
1934,9.5,-0.0471414497934487
1935,13.430000305175781,0.4136842426500822
1936,17.18000030517578,0.2792256079513855
1937,10.550000190734863,-0.3859138531239439
1938,13.140000343322754,0.24549764035667598
1939,12.460000038146973,-0.051750402390311256
1940,10.579999923706055,-0.15088283376285672
1941,8.6899995803833,-0.1786389751372236
1942,9.770000457763672,0.12428088947418958
1943,11.670000076293945,0.1944728279946446
1944,13.279999732971191,0.13796055236946803
1945,17.360000610351562,0.3072289879080845
1946,15.300000190734863,-0.11866361446948026
1947,15.300000190734863,0.0
1948,15.199999809265137,-0.006535972563600612
1949,16.790000915527344,0.10460533725092702
1950,20.43000030517578,0.21679566355962354
1951,23.770000457763672,0.1634850760007931
1952,26.56999969482422,0.11779550623214319
1953,24.809999465942383,-0.06624012981169436
1954,35.97999954223633,0.4502216975710711
1955,45.47999954223633,0.26403557867887417
1956,46.66999816894531,0.026165317473318295
1957,39.9900016784668,-0.14313256380034423
1958,55.209999084472656,0.3805950679467285
1959,59.88999938964844,0.08476725924257433
1960,58.11000061035156,-0.029721135372135832
1961,71.55000305175781,0.2312855326147094
1962,63.099998474121094,-0.1180992902477469
1963,75.0199966430664,0.18890647317264198
1964,84.75,0.1296987975516375
1965,92.43000030517578,0.09061947262744274
1966,80.33000183105469,-0.13090986080461509
1967,96.47000122070312,0.20092118787191282
1968,103.86000061035156,0.07660411833873271
1969,92.05999755859375,-0.11361450974786269
1970,92.1500015258789,0.0009776664096463605
1971,102.08999633789062,0.1078675490767107
1972,118.05000305175781,0.15633271903589674
1973,97.55000305175781,-0.1736552263451614
1974,68.55999755859375,-0.297180979869192
1975,90.19000244140625,0.31549016413436637
1976,107.45999908447266,0.19148460112623034
1977,95.0999984741211,-0.11501954881495535
1978,96.11000061035156,0.010620422212785918
1979,107.94000244140625,0.12308814645643174
1980,135.75999450683594,0.2577356997979632
1981,122.55000305175781,-0.09730400699458608
1982,140.63999938964844,0.14761318553578895
1983,164.92999267578125,0.1727104194507032
1984,167.24000549316406,0.014006020250809215
1985,211.27999877929688,0.263334081796194
1986,242.1699981689453,0.14620408731597978
1987,247.0800018310547,0.020275028695685204
1988,277.7200012207031,0.1240084149367906
1989,353.3999938964844,0.2725046534031901
1990,330.2200012207031,-0.06559137825727013
1991,417.0899963378906,0.2630670304526097
1992,435.7099914550781,0.04464263175974903
1993,466.45001220703125,0.07055156263296847
1994,459.2699890136719,-0.01539291029147316
1995,615.9299926757812,0.34110655477087093
1996,740.739990234375,0.20263666170303285
1997,970.4299926757812,0.3100818174657085
1998,1229.22998046875,0.2666858915596535
1999,1469.25,0.19526046658878404
2000,1320.280029296875,-0.10139184665858436
2001,1148.0799560546875,-0.13042693172742603
2002,879.8200073242188,-0.23365963957103564
2003,1111.9200439453125,0.2638039993281984
2004,1211.9200439453125,0.08993452410946756
2005,1248.2900390625,0.030010226581274946
2006,1418.300048828125,0.136194317382607
2007,1468.3599853515625,0.035295730663479574
2008,903.25,-0.38485793060906714
2009,1115.0999755859375,0.2345419048834072
2010,1257.6400146484375,0.12782713853760175
2011,1257.5999755859375,-3.183666393691276e-05
2012,1426.18994140625,0.1340569092662105
2013,1848.3599853515625,0.2960124957332435
2014,2058.89990234375,0.11390633786748117
2015,2043.93994140625,-0.007265997205823549
2016,2238.830078125,0.09535022667283655
2017,2673.610107421875,0.1941996552328793
2018,2506.85009765625,-0.0623725984962068
2019,3230.780029296875,0.2887807022515845
2020,3756.070068359375,0.16258923055706176
2021,4766.18017578125,0.2689273866137125
2022,3839.5,-0.1944282720342927
2023,4769.830078125,0.24230500797629895
2024,5881.6298828125,0.23309002343424012
2025,6845.5,0.1638780638006745
2026,6909.509765625,0.009350634084434928
