year,tsmc_close,tsmc_return,qcom_close,qcom_return
1991,,,0.4686044752597809,
1992,,,0.4591374695301056,-0.020202550828024135
1993,,,1.003475308418274,1.1855661430666053
1994,,,0.908808171749115,-0.09433927858013547
1995,,,1.628281831741333,0.7916672432725831
1996,,,1.5099471807479858,-0.07267455098162989
1997,1.9190337657928467,,1.9122834205627441,0.26645716151173726
1998,2.170619010925293,0.13109995749788395,2.0059640407562256,0.04898887852403866
1999,8.468280792236328,2.901320659965317,54.550628662109375,26.194220611025713
2000,4.1551032066345215,-0.5093333217712979,25.455656051635742,-0.5333572375616429
2001,5.790165901184082,0.3935071196159048,15.641194343566895,-0.3855513166960073
2002,2.6151857376098633,-0.5483401024701104,11.270950317382812,-0.2794060306514592
2003,4.102391242980957,0.56868064244275,16.809858322143555,0.4914322083576457
2004,3.921794891357422,-0.0440222155633081,26.59360694885254,0.5820244548891227
2005,4.97853946685791,0.2694543199669286,27.255836486816406,0.02490183220491793
2006,5.910826206207275,0.18726109244600542,24.1728458404541,-0.11311304453464643
2007,5.620857238769531,-0.04905726497815688,25.510778427124023,0.05534857564974183
2008,4.697249889373779,-0.16431788073627362,23.562646865844727,-0.07636503789347215
2009,7.1684393882751465,0.5260928324234455,30.91187286376953,0.31190154653541446
2010,8.248888969421387,0.150723124326537,33.69606399536133,0.09006866532681124
2011,8.850580215454102,0.07294209538559482,37.82310104370117,0.1224783122713673
2012,12.187918663024902,0.377075668072409,43.45487594604492,0.14889775684539308
2013,12.732280731201172,0.04466407130101113,53.17161178588867,0.2236051910931327
2014,16.706459045410156,0.3121340471601475,54.37151336669922,0.022566582815700675
2015,17.522499084472656,0.04884578095480352,37.71602249145508,-0.306327520496148
2016,22.97496223449707,0.31116926436914727,50.95083999633789,0.3509070318292786
2017,32.71786117553711,0.42406593932985914,51.993499755859375,0.020464034736157988
2018,31.570829391479492,-0.035058275292006114,48.047813415527344,-0.07588806983294816
2019,52.041969299316406,0.6484194524633482,77.24366760253906,0.6076416825573305
2020,100.2684097290039,0.9266836186062808,136.7855224609375,0.7708315348874144
2021,112.39551544189453,0.12094642515690279,167.22474670410156,0.222532499752353
2022,71.0918960571289,-0.36748458532688066,102.7052001953125,-0.38582535049644406
2023,101.18489074707031,0.4232971176596403,138.7276611328125,0.3507364852899053
2024,194.86434936523438,0.9258245764412849,150.25653076171875,0.08310433214807067
2025,303.8900146484375,0.5594951854372103,171.0500030517578,0.13838647934054826
2026,370.5400085449219,0.2193227506128821,142.8800048828125,-0.16468867387521402
